InvestorID,Portfolio,Proportion1,Proportion2
699098230,"301471,301125,688311,300290,301490,688857,601536,000587,688981,301312,300812,601631,604560,301422,300798,688220,601889,000564,601944,603421,301207,001242,300174,600697,688030,300096,688376,000515,003651,603959,600485,003017,601706,002762,300240,301146,300344,603943,600065,000670,300416,600056,603189,001836,602047,601815,300574,603561,003073,602366,604920,002342,002192,300516,002473,300688,600338,600835,300347,301044,003943,603993,602854,688150,688890,002917,300904,688386","1.812368,1.811632,1.801359,1.792179,1.724877,1.711053,1.701082,1.698185,1.681414,1.668663,1.660190,1.657796,1.657347,1.655854,1.649012,1.631723,1.628629,1.596560,1.594506,1.583795,1.581032,1.576151,1.560924,1.553146,1.545027,1.532706,1.532390,1.528001,1.525617,1.524760,1.520261,1.496007,1.485461,1.483854,1.477703,1.469279,1.468495,1.465623,1.454409,1.450014,1.448107,1.430295,1.428130,1.426535,1.418386,1.414808,1.404488,1.390373,1.387859,1.387583,1.373122,1.356217,1.355808,1.344783,1.343526,1.333232,1.311694,1.294524,1.294296,1.288417,1.275761,1.253667,1.178400,1.079175,1.008945,1.007556,0.997011,0.818218","2.413659,1.669395,1.010690,1.604791,1.591033,1.955420,0.995080,1.188582,1.903093,2.345928,1.119103,1.318835,2.260293,1.552216,1.942401,2.165508,1.077363,1.933098,0.880995,1.174076,2.176422,1.356894,1.771758,0.900364,1.880363,1.385514,1.708733,1.878975,1.480536,1.141636,0.936686,1.833905,2.153927,1.804916,1.245326,2.114195,1.619458,1.077201,1.691079,1.641145,1.984137,1.429441,1.199193,1.502838,1.269735,1.114124,0.978190,1.721640,1.624139,1.664250,1.694223,1.291780,1.118560,1.688943,1.505423,1.129511,1.574515,1.115337,1.877387,1.019417,1.243571,1.029704,1.090055,1.165307,0.891307,0.629188,0.585764,0.961734"
76277205,"301101,002174,688516,688909,688274,301098,602553,300065,688852,688378,300030,301486,604652,603093,002321,003516,002406,688340,601856,603318,600655,301208,301400,300518,688615,300815,300226,603685,002805,602825,600660,688768,603743,604210,600255,301399,002207,300653,688410,300811,688309,300951,301272,002418,000494,601773,603867,688033,600650,002505","2.576923,2.528829,2.491110,2.483892,2.469464,2.413052,2.336969,2.322898,2.297574,2.297502,2.256329,2.234737,2.204988,2.184762,2.176625,2.131900,2.123312,2.107762,2.105178,2.089996,2.083666,2.083135,2.047294,2.045960,2.043916,2.023658,2.021719,2.017056,2.013102,2.010533,1.964529,1.962783,1.956370,1.903797,1.842340,1.838780,1.806765,1.802983,1.795078,1.770866,1.735033,1.715251,1.616553,1.580328,1.575596,1.513692,1.469138,1.413979,1.316770,1.195528","2.148635,2.495007,2.604976,2.115726,2.829925,3.029527,1.850313,1.780496,3.121815,2.014495,1.283030,2.563729,2.610084,2.569568,2.591278,1.379207,2.010668,1.899355,1.849705,2.207391,2.417273,2.894745,2.397146,1.834899,1.961595,2.405148,2.273299,1.928443,2.230459,1.310428,2.017026,2.433072,2.408716,1.748342,2.201221,1.505582,1.990438,1.432664,2.322114,1.616327,0.951229,1.097813,2.002558,2.021120,0.949080,2.121652,1.244399,1.472732,0.972449,0.883102"
339397442,"300889,001458,600394,300958,002368,003917,600097,002237,604680,002779,301167,600841,688993,603086,603507,002008,601908,301112,602061,000154,604688,604719,003521,003215,001287,688476,600703,300575,300921,300243,602332,300722,603591,688309,300482","3.280748,3.218096,3.192669,3.089703,3.089068,3.082123,3.076922,3.071032,3.024404,3.006215,2.989480,2.969473,2.961292,2.948399,2.945708,2.906098,2.899572,2.898095,2.887646,2.855842,2.855140,2.840822,2.818002,2.784563,2.770625,2.765159,2.753325,2.736103,2.719994,2.656483,2.641689,2.585691,2.370250,2.201686,2.107880","4.156816,1.770708,1.987820,2.833913,2.963990,3.440491,2.793002,2.254879,2.536557,3.044793,3.537838,2.868195,2.087075,2.831521,3.589413,1.550875,3.710857,3.962984,3.523591,2.180869,2.753278,3.924234,3.024348,2.919075,2.998748,1.695859,2.471496,3.214788,3.717843,2.200917,2.660108,3.451794,1.766706,2.828920,2.745699"
826447941,"688720,604473,001860,604904,300895,300137,002632,688684,603513,003332,604830,001498,601652,300209,602366,602233,600843,301305,603702,604587,688154,600659,688219,002602,688279,000776,600894,604927,601991,003912,600056,301207,002255,301212,688314,003538,001293,003669,002307","3.028263,2.991496,2.980839,2.971077,2.964759,2.952435,2.936832,2.929829,2.882241,2.778728,2.778434,2.709168,2.701778,2.699397,2.683479,2.678707,2.663113,2.655059,2.616314,2.573409,2.532502,2.504469,2.499932,2.464979,2.459692,2.449758,2.449654,2.446300,2.442218,2.402158,2.400047,2.392827,2.303497,2.271823,2.264292,2.258351,2.078109,1.888686,1.315351","3.865659,2.205752,1.843453,3.802235,3.366767,2.810338,3.350474,3.637267,2.461465,2.990854,1.763439,1.647447,1.529825,1.629944,3.346619,3.791132,2.348975,3.351675,2.180008,3.682642,2.284135,2.353654,1.404131,3.510536,2.747047,2.316949,3.465249,2.046850,2.480964,2.007427,2.824062,3.367612,1.915561,1.388726,3.066378,1.986439,1.679355,2.253657,1.295296"
764924766,"600372,688720,301305,601206,604904,300137,600205,688337,603653,000895,604710,602431,601991,003243,604594,600659,000753,601906,001860,688773,300895,602635,003643,300783,688684,604736,604345,601940,601342,600183,603513,601996,601558,604228,300520,688739,001854,601411,603905,602214,300338,300553,002632,001967,000509,600323,301292,600843,600047,688671,300130,603709,002019,602765,601733,603748,604473,002775,300437,001498,300416,600374,688857,002380,003648,300209,688864,688640,600639,688435,600835,604395,688054,301006,600894,003405,002602,003588,688571,001563,600774,688818,003714,688713,688311,600318,604830,000705,300298,001391,604927,688220,002717,301214,688030,002302,300500,300900,000604,300383,300671,601700,600066,603963,600263,688338,003519,601963,001686,301050,604225,602744,688279,003912,602048,001282,000423,300084,601066,301015,002990,688103,002022,688272,300104,601871,688241,301201,000744,002311,603702,300077,600376,300987,600846,301217,688942,602834,604385,600250,601855,301431,688403,688156,600784,688917,000793,003449,602249,688087,300146","0.831682,0.811066,0.811039,0.806057,0.794896,0.793892,0.791979,0.785002,0.783145,0.777047,0.774502,0.766273,0.763025,0.760218,0.757851,0.756096,0.756008,0.747670,0.738733,0.737398,0.736302,0.732776,0.730042,0.729675,0.728224,0.726767,0.726529,0.726277,0.725540,0.725245,0.723852,0.723490,0.720362,0.719463,0.715944,0.714908,0.714587,0.713401,0.712839,0.711743,0.711321,0.709480,0.708264,0.708089,0.707582,0.706758,0.705969,0.703223,0.701065,0.700753,0.700490,0.699803,0.699765,0.699439,0.695006,0.694842,0.693325,0.692904,0.691105,0.690827,0.690465,0.690140,0.689316,0.689160,0.688157,0.687817,0.687394,0.687310,0.685598,0.685391,0.684930,0.684889,0.684202,0.682778,0.681765,0.680997,0.680826,0.675877,0.674426,0.672446,0.671524,0.669558,0.669317,0.668710,0.668698,0.668078,0.667203,0.665924,0.665387,0.662685,0.660815,0.656685,0.654005,0.652185,0.652027,0.651147,0.647266,0.645640,0.644783,0.643206,0.642426,0.642274,0.642142,0.638756,0.637816,0.637499,0.635080,0.630306,0.629775,0.629613,0.625218,0.622077,0.620550,0.620316,0.614280,0.613679,0.606423,0.605572,0.601314,0.598248,0.592556,0.592194,0.587989,0.586921,0.586133,0.585728,0.582780,0.578088,0.576602,0.575933,0.575905,0.573323,0.570604,0.567460,0.560898,0.558976,0.558293,0.555109,0.555004,0.551169,0.541853,0.525072,0.511620,0.478250,0.476596,0.474506,0.450834,0.448161,0.441511,0.420413,0.375870","0.492435,1.102440,0.885035,0.931260,1.045207,0.722449,0.575537,1.044239,0.540083,0.462411,0.755963,0.886758,0.942017,1.035374,0.829740,0.945438,0.595379,0.894874,0.720433,0.862210,0.916546,0.598633,0.492733,0.686085,0.669774,0.972634,0.882321,0.803043,0.508667,0.869566,0.863927,0.416314,0.808186,0.857010,0.474730,0.786365,0.577270,0.437618,0.813642,0.548056,0.955755,0.958440,0.382694,0.743855,0.869757,0.720427,0.946770,0.759219,0.730501,0.936733,0.789473,0.732434,0.637255,0.950944,0.838231,0.710146,0.811312,0.716918,0.837387,0.798972,0.623451,0.613048,0.695592,0.390485,0.471726,0.615096,0.403870,0.455533,0.647640,0.414755,0.781649,0.547110,0.550518,0.620093,0.855120,0.725217,0.625814,0.683322,0.462861,0.827332,0.767324,0.760091,0.681206,0.514075,0.704890,0.891980,0.650055,0.541659,0.878053,0.356792,0.745339,0.861244,0.517081,0.835400,0.785972,0.777722,0.668692,0.477818,0.741193,0.426538,0.335519,0.449299,0.654904,0.662211,0.533713,0.850567,0.790974,0.493256,0.500277,0.593556,0.675572,0.706829,0.805775,0.364931,0.667252,0.543568,0.566874,0.419679,0.610839,0.350635,0.492084,0.813899,0.809200,0.492395,0.318800,0.549377,0.406215,0.691054,0.728576,0.720306,0.754153,0.319076,0.612818,0.752954,0.638026,0.386545,0.660017,0.423481,0.385021,0.686332,0.478396,0.331282,0.651064,0.392585,0.610209,0.544943,0.375574,0.526595,0.374081,0.415526,0.410208"
751531158,"688605,001308,688153,600727,604423,601017,300349,300402,601918,603469,001375,301046,301063,602516,604236,301070,600655,604378,603867","6.414710,5.925466,5.755425,5.659747,5.540396,5.538410,5.455452,5.449231,5.415483,5.398494,5.249336,5.151524,5.139788,5.065880,4.931727,4.855353,4.399390,4.398403,4.255784","4.024326,3.247473,6.496296,5.438326,6.927961,6.859059,3.652484,4.893595,7.220863,6.395266,3.595200,6.878854,6.572182,4.384340,6.204388,5.763852,2.604351,4.416365,4.424819"
915698234,"300787,688243,003579,003722,601600,604868,600760,600721,603342,688735,601294,301300,002709,602741,688408,002163,301067","6.535121,6.368302,6.347458,6.325741,6.307523,6.267950,6.215640,6.179509,6.156440,5.905006,5.903817,5.899951,5.887358,5.147773,5.109486,4.769950,4.672975","8.331033,3.745685,7.790396,5.721041,8.037016,7.877245,3.658478,7.273978,3.881342,6.433870,4.040028,4.620604,6.992576,4.964801,4.380021,6.201525,6.050362"
645696291,"000274,001839,300865,600889,300466,603031,301146,688019,002693,001617,604346,301038,603535,002371","9.020915,8.021078,7.944008,7.725357,7.516231,7.479808,7.463415,7.452456,7.292286,6.487315,6.431340,6.334206,5.918194,4.913391","9.122686,8.226037,8.583986,9.048082,7.774239,5.876226,5.457139,5.861141,9.066671,6.997314,6.188610,7.251066,7.384860,3.161943"
56603521,"604259,002122,601603,688890,688424,603002,301013,301283,002594,603413,002909,300095,300639,300284,604600,001249,602815,604203,604680","6.092719,6.021781,5.886564,5.767129,5.718050,5.609788,5.532799,5.470581,5.462320,5.437686,5.302324,5.122614,5.097100,5.080111,5.005962,4.787501,4.282321,4.242834,4.079815","4.103956,8.170121,4.876498,4.081242,3.733063,7.437592,7.093565,5.925827,4.253654,5.209935,6.746036,3.532755,7.054779,5.746304,4.431617,5.539711,6.007123,2.495348,3.560873"
932529559,"002237,002368,000154,601406,300301,300195,600712,300789,688506,000739,300258,301112,301293,300331,003887,002972,604684,300210,002948,300256,003174,602733,688501,300901,002992,688625,300206,688197,001255,601054,604680,002759,301096,601764,604730,601315,601324,603755,002547","3.057059,3.031114,3.008109,3.006633,2.890148,2.879706,2.876970,2.873993,2.864742,2.860690,2.859755,2.833994,2.824587,2.795565,2.756144,2.698208,2.672941,2.624349,2.609852,2.606236,2.600491,2.590658,2.496408,2.446474,2.445930,2.423124,2.422197,2.418801,2.415167,2.414295,2.357893,2.347592,2.346235,2.335353,2.332040,2.210018,1.768436,1.703101,1.294993","3.134137,2.179002,2.316752,3.626194,3.825167,2.282598,2.391458,2.911129,3.208224,3.021878,3.616082,2.673100,1.868822,2.504270,1.998484,2.419870,3.416746,1.971584,2.275119,1.818460,1.964711,3.342864,2.511309,2.993726,2.761156,3.166879,3.139397,3.242973,2.601402,3.038607,2.786734,1.997833,2.673842,1.241252,2.056227,1.287314,1.979244,2.320148,1.435305"
