InvestorID,Portfolio,Proportion1,Proportion2
885069653,"001103,602036,603145,688016,300380,300135,301170,300010,300634,003941,603446,600825,602748,688925,300397,003377,300304,688662,300960,603326,602280,002268,003618,604370,001297,002509,003175,300343,301248,603603,602817,301035,600036,603046,003919,602123,002766,604532,600076,002257,300834,604868,688500,300131,002361,602098,300991,688426,002322,601410","2.384391,2.352794,2.307013,2.302601,2.261111,2.241784,2.240995,2.221395,2.220697,2.184422,2.174800,2.168866,2.161906,2.156785,2.154953,2.143721,2.143653,2.136525,2.130162,2.112280,2.109098,2.072015,2.063425,2.060769,2.059559,2.058327,2.044819,2.037666,2.001945,1.992608,1.976319,1.970919,1.966491,1.957202,1.934593,1.930772,1.919866,1.892398,1.871440,1.868787,1.805721,1.803171,1.799590,1.780628,1.773045,1.766099,1.550565,1.476218,1.252741,1.002353","2.299991,1.230209,2.961580,1.614089,2.546658,2.715721,2.695314,2.632602,2.842711,1.684861,2.375604,1.838263,2.207806,1.386761,2.575884,1.483884,2.480332,2.758733,2.131538,2.732689,2.456591,2.501278,2.163810,1.955767,2.103798,2.644379,1.806200,1.988956,1.917487,1.745084,1.784160,2.504933,2.165165,2.429548,1.064210,1.773010,2.336404,1.449736,1.422523,1.392480,1.491670,1.675345,1.688047,2.081873,0.968453,2.281471,0.997253,1.437313,1.376439,1.201387"
530818594,"002368,601072,000154,003887,300195,600712,001730,300789,300469,301293,688363,301112,688408,300870,601904,002325,300416,688057,602674,300751,003287,300900,603474","5.376851,5.341326,5.283181,5.246514,5.085556,4.995211,4.968943,4.956374,4.899019,4.785639,4.598254,4.555294,4.413203,4.156929,4.103498,3.837069,3.820733,3.632341,3.582943,3.581917,3.050749,3.036795,2.691661","4.867263,5.414474,4.972211,7.008720,6.390805,6.043129,4.389580,3.528453,5.762159,6.535231,3.731321,3.293785,2.816451,4.765341,4.823161,4.555191,3.696818,3.320280,2.172903,3.242811,2.002016,4.323971,2.343928"
357763486,"300681,300719,002893,604897,300815,601318,604202,001751,602427,604186,300656,601092,600255,300337,301259,002055,000823,604877,300811,001579,601364,601875,003474,603733,301272,600931,601740,688617,603642,601693,000545,300233,002387,301135,001030,300346,002199,300495,600661,603318,600135,301419,603176,688966,300866,603103,000211,603394,002277,603656,600466,301058,003862,600962,604141,001441,688882,002002,002164,002623,600052,688563,600781,604423,602577,000649,002708,600893,688605,003062,688771,300771,002668,602145,300653,000926,300349,600010,604210,600863,002932,688686,003595,603271,688987,603804,001729,602520,600759,003684,603026,601587,603146,688871,604694,688410,001717,301080,601533,300946,001312,300503,603627,300941,601516,000494,688192,000380,603849,602397,300976,604968,602129,301134,300226,600916,000302,300008,001517,602506,688746,000284,601972,301400,603591,301377,301070,001112,688906,002948,301297,002276,001215,003125,001988,301497,301447,300677,300998,000419,688133,002047,300319,001332,001173,603209,602985,003741,604018,600333,002905,601466,300723,002314,000702,300076,600702,601414,601528,002676,601501,000853,604335,688437,600284,601881,002828,300170,688625,001091,003188,688492,003150,604236,601307,603950,003912,301357,002255,601170,001953,301393,300782,001696,600309,003332,601458,001545,002505,603094,000744,002675,688424,002766,001375,600991,003217,602048,301084,002068","0.674467,0.670915,0.660280,0.657788,0.656517,0.653480,0.652882,0.651360,0.650819,0.650049,0.646827,0.642521,0.638433,0.636681,0.636542,0.635581,0.633506,0.629994,0.629210,0.626278,0.623709,0.622450,0.621261,0.618124,0.614966,0.607401,0.604963,0.604179,0.603340,0.602766,0.602430,0.600609,0.597483,0.597115,0.591804,0.591064,0.590168,0.588572,0.587447,0.587298,0.583251,0.582395,0.574673,0.568518,0.567145,0.567089,0.564185,0.563799,0.561762,0.561143,0.560623,0.558812,0.558010,0.556633,0.554190,0.552330,0.552094,0.550622,0.544722,0.544023,0.543878,0.542571,0.542363,0.541935,0.537833,0.536063,0.534710,0.534088,0.532643,0.532627,0.531928,0.531271,0.531017,0.529105,0.528733,0.526898,0.526861,0.525947,0.525462,0.524838,0.524279,0.524009,0.523670,0.523590,0.521485,0.519625,0.519108,0.518887,0.517347,0.515877,0.513986,0.513768,0.513486,0.513369,0.512305,0.509933,0.508544,0.508211,0.506503,0.504878,0.503954,0.503092,0.502561,0.497907,0.497001,0.494715,0.493833,0.492401,0.492397,0.491438,0.491294,0.491177,0.487859,0.486737,0.485670,0.485141,0.484789,0.483072,0.482356,0.481251,0.478358,0.477511,0.477409,0.476402,0.474382,0.472555,0.472324,0.471732,0.469553,0.465704,0.465418,0.464896,0.464742,0.463967,0.463770,0.463230,0.462136,0.461442,0.458705,0.458633,0.457358,0.456613,0.455631,0.454146,0.453975,0.450172,0.444014,0.439749,0.436356,0.435486,0.433846,0.432478,0.432050,0.429461,0.426687,0.425982,0.423714,0.423526,0.422339,0.417842,0.413398,0.412715,0.411600,0.411494,0.411323,0.410387,0.408711,0.408111,0.406686,0.406534,0.406075,0.406045,0.398488,0.393976,0.393798,0.391819,0.391576,0.390604,0.389329,0.388330,0.388226,0.384489,0.383334,0.373023,0.358416,0.353800,0.353400,0.345829,0.338954,0.338057,0.336725,0.334958,0.332200,0.330979,0.329534,0.322828,0.316260,0.312370,0.292452,0.289297","0.555361,0.718566,0.584849,0.476427,0.522318,0.547272,0.533747,0.845318,0.821436,0.449127,0.680436,0.645331,0.746466,0.567333,0.944678,0.598562,0.688322,0.727839,0.905709,0.611850,0.859950,0.863446,0.380041,0.721100,0.876232,0.584605,0.350983,0.348189,0.365229,0.531533,0.629904,0.387857,0.780468,0.699331,0.383594,0.680553,0.707891,0.334331,0.392995,0.787507,0.434820,0.504780,0.727728,0.485974,0.746492,0.327045,0.323696,0.557653,0.679352,0.576619,0.346646,0.592502,0.369664,0.314830,0.776975,0.756879,0.588852,0.601290,0.802477,0.634650,0.585699,0.568311,0.455344,0.361758,0.651791,0.439022,0.330346,0.450598,0.490644,0.600552,0.401274,0.353289,0.507746,0.642843,0.499641,0.395613,0.316955,0.755032,0.744656,0.373206,0.512601,0.443528,0.545611,0.382465,0.398132,0.537002,0.534336,0.560165,0.565117,0.746188,0.481980,0.760697,0.467759,0.708453,0.449357,0.589784,0.477785,0.621665,0.618288,0.535086,0.419240,0.389162,0.603275,0.725048,0.687258,0.518565,0.555624,0.728526,0.391170,0.526250,0.582353,0.297357,0.289885,0.437040,0.344975,0.689971,0.274990,0.338107,0.597708,0.436453,0.577545,0.662138,0.296736,0.410118,0.575257,0.330842,0.342887,0.579238,0.347558,0.489742,0.318379,0.411750,0.620957,0.582588,0.264606,0.480314,0.620360,0.656276,0.360008,0.479381,0.445328,0.475046,0.495050,0.433006,0.613850,0.361609,0.253242,0.478576,0.311221,0.436455,0.421942,0.287261,0.453129,0.461398,0.469005,0.277744,0.455017,0.454639,0.588437,0.240004,0.526760,0.451592,0.496576,0.486542,0.418693,0.460686,0.589991,0.422494,0.602289,0.546997,0.455409,0.601193,0.289570,0.492227,0.355980,0.549238,0.424957,0.275146,0.309138,0.243270,0.510359,0.293757,0.342625,0.233277,0.216435,0.455844,0.254723,0.328196,0.206291,0.317357,0.430222,0.203513,0.467859,0.332337,0.215830,0.376354,0.214106,0.432047,0.292803,0.379794"
830563569,"604308,603613,002358,301064,003325,600725,002958,600547,300000,301221,002709,602507,001993,602136,600760,602175,002509,002116,688243,002182,600825,603342,300237,300003,301170,300412,688649,003397,300010,600076,003722,602075,602467,600799,688484,604039,003962,602138,688355,688043,601819","2.837293,2.796222,2.773674,2.744143,2.736291,2.693807,2.635915,2.635631,2.630132,2.630014,2.616570,2.615118,2.612773,2.598891,2.573290,2.562502,2.559919,2.559112,2.556984,2.499654,2.495897,2.490426,2.485564,2.453254,2.417080,2.391397,2.387171,2.343339,2.311138,2.301667,2.301579,2.260510,2.242224,2.238657,2.235108,2.198210,2.099399,2.082316,1.916664,1.905925,1.574541","2.300136,1.811255,1.677340,3.990763,3.318446,3.761118,3.057029,3.507292,2.341907,3.542615,1.466590,3.002223,2.775409,1.512175,1.640416,1.930718,1.501612,2.962886,3.128105,3.184053,3.599176,1.781241,2.638448,2.125457,2.310489,1.354991,3.230851,2.264751,3.246094,2.363842,2.902999,1.505385,1.257856,1.649404,3.225294,3.190627,1.586121,2.788637,1.299395,1.469752,1.797101"
80221652,"600010,003125,600916,300337,603176,001717,601740,301482,300949,603656,301025,603878,601875,688410,003474,300866,001751,602116,600863,688133,688686,688729,604018,300976,604873,601540,600759,604500,601364,300233,688563,688416,604202,300585,000885,601516,300402,600333,688731,604194,000284,000649,604186,688157,603271,300782,301000,600378,001781,688882,602064,602806,600784,601709,688987,602098,601621,601206","2.142580,2.081887,2.055877,2.013802,1.995462,1.983107,1.944046,1.912146,1.897500,1.895747,1.894950,1.894539,1.886007,1.875955,1.874162,1.872783,1.863958,1.859544,1.853978,1.851905,1.844799,1.843373,1.834289,1.825868,1.811644,1.799177,1.781388,1.780917,1.780743,1.778203,1.770070,1.750614,1.725249,1.695470,1.695154,1.685633,1.672535,1.667975,1.649173,1.638380,1.626808,1.614395,1.613818,1.601584,1.593930,1.576941,1.556445,1.553265,1.531199,1.457298,1.443926,1.434685,1.415594,1.399994,1.348637,1.239569,1.207366,1.103962","1.493674,1.347306,1.712202,2.295640,2.705533,2.209910,2.659810,1.245021,1.692571,2.461199,1.730812,1.688621,1.159967,1.775596,2.457238,2.037568,2.545727,2.368936,2.401519,1.281943,1.198741,1.671789,2.437244,1.187284,2.171514,1.266912,0.975529,2.227061,2.408673,1.761058,2.483476,1.954554,1.697789,2.311938,2.307378,1.475570,1.717275,2.220498,1.999623,1.123599,2.095172,1.988737,1.311263,1.264824,1.661950,0.882147,0.877577,1.965375,1.251183,1.518934,0.989432,1.271615,1.890516,0.887638,1.259465,0.843016,1.497058,0.675798"
255621070,"601324,301270,602134,603755,600345,688641,604992,601643,300138,604335,000885,603315,003925,001972,601458,602064,602725,001622,688557,688379,688911,000974,300897,688315,688398,604383,604436,001311,001138,688157,603867,600670,600191,001278,688759,002742,300729,003357,300949,002676,003600,301106,604213,003883,688416,603878,300309,688729,600451,603054,602117,001408,600616,003125,604018,300008,001382,002068,301033,603020,300980,002981,688025,604141,001077,604889,601496,300229,000329,003233,604453","1.609695,1.577913,1.556838,1.530031,1.528201,1.525290,1.511663,1.509245,1.509197,1.505820,1.500570,1.490781,1.487565,1.485614,1.485598,1.485172,1.482901,1.481983,1.479521,1.478167,1.455873,1.454860,1.454440,1.451774,1.440462,1.440138,1.439713,1.438877,1.438323,1.434002,1.433589,1.429976,1.429705,1.428334,1.427167,1.422995,1.422195,1.420275,1.417637,1.408276,1.404670,1.402778,1.401681,1.400910,1.398699,1.395288,1.391454,1.390142,1.384530,1.382844,1.381877,1.376508,1.375716,1.373959,1.370611,1.370570,1.363835,1.343665,1.321042,1.316761,1.298527,1.286251,1.273891,1.273173,1.272573,1.252879,1.211595,1.208497,1.196013,1.180665,1.088018","1.229084,1.924787,2.099672,1.871022,1.789750,1.155839,1.500989,0.929076,1.295093,1.871668,1.560297,1.025180,1.029896,1.345419,2.193913,1.062083,2.017582,0.939927,0.937704,1.835157,1.075482,1.933582,0.975082,1.626477,1.077038,1.715143,1.948604,1.672882,1.885878,0.905252,0.941447,2.018211,0.971216,1.015962,1.876237,1.557978,2.158372,1.702719,1.919623,1.850738,1.477416,1.001537,1.076360,1.705098,1.510578,1.038085,0.954674,1.379124,1.520870,1.228618,1.148314,1.185171,1.981749,1.876707,1.034286,2.126733,1.455287,1.010878,0.769873,0.820008,1.258358,1.349339,0.889534,1.609006,1.291133,0.850245,1.352833,1.155307,1.357821,0.822193,1.320802"
464191532,"602515,600202,002476,601573,002607,688943,601921,688561,301254,300919,300725,301103,001141,688344,002695,300894,301468,300284,604112,602633,602350,001983,300290,688749,003674,301125,602002,003537,301269,601489,003934,300356,000747,603081,001518,300957,001840,300268,604712,002635,600705,000929,603201,003744,688431,001913,603053,604725,300850,688263,000716,003956,688012,002322,688086,600263,603645,003428,300408,003547,602551,300357,002464,604102,301001,600083,002761,602204,603848,001892,601282,002849,688162,603258,601617,688868,603477,688220,301305,000564,688680,688482,603943,688059,601681,603340,002874,300904,688304,688671,604937,001933,601512,600223,000896,300543,603316,602516,688697,300740,604696,000444,604108,003110,003088,688587,600502,603746,600277,602105,688772,601115,300437,688414,688857","1.132487,1.075265,1.048103,1.043493,1.035590,1.030383,1.020806,1.020050,1.017118,1.016656,1.015898,1.015384,1.006764,1.004127,1.003113,0.998118,0.992865,0.991234,0.987596,0.984089,0.982649,0.963594,0.962096,0.958673,0.955973,0.953434,0.941725,0.939776,0.939176,0.932732,0.932376,0.928791,0.927743,0.927283,0.926976,0.926921,0.923873,0.921410,0.919054,0.914791,0.911607,0.911035,0.910432,0.910382,0.907604,0.904267,0.899148,0.895954,0.893028,0.892504,0.890985,0.889434,0.885892,0.883743,0.883520,0.880392,0.879634,0.877734,0.876973,0.874683,0.873158,0.871195,0.870657,0.865997,0.863313,0.860579,0.859450,0.854935,0.851087,0.849006,0.839973,0.839249,0.836532,0.827223,0.825298,0.820711,0.818552,0.818378,0.814179,0.808596,0.807882,0.806780,0.806352,0.805314,0.805123,0.804222,0.800272,0.799812,0.798693,0.788179,0.787324,0.783143,0.782915,0.777946,0.767035,0.764760,0.761049,0.757941,0.757741,0.752915,0.746000,0.745723,0.741591,0.737946,0.736152,0.717568,0.710240,0.706678,0.691397,0.689663,0.680981,0.680090,0.634241,0.583315,0.537817","0.775069,0.806513,1.413448,1.380364,0.988410,0.598078,0.976465,1.288223,1.365373,0.873495,1.145986,0.576504,0.724027,1.304610,1.039251,0.654417,1.257469,1.092402,1.379675,1.211019,1.149576,0.931753,1.293946,1.016935,1.353522,0.524517,0.907055,1.045436,1.332238,1.037477,0.803657,0.968045,1.090948,1.112420,1.260861,1.032508,1.243724,0.993396,0.651608,1.191759,0.523273,1.228359,0.561452,0.840274,0.791104,0.915901,1.148620,0.604301,0.961109,1.281454,0.510230,0.764239,1.177846,0.884034,0.634928,1.169745,1.140036,0.851096,0.621879,0.689708,0.654183,1.230393,1.140007,1.240815,0.932752,0.582079,0.957433,0.572952,0.864657,0.757109,0.725348,0.603968,0.763151,0.660290,0.987223,1.106531,1.144304,0.780622,1.033370,0.972234,0.719530,0.734292,0.695454,0.591527,0.720961,0.814027,0.685257,0.437599,0.690761,0.845235,1.125389,0.966269,0.553863,0.811018,0.559822,1.018933,0.490923,0.428909,0.552927,0.497267,0.942598,0.608637,0.794012,0.848829,0.403374,0.469115,0.916015,0.454270,0.387102,0.458989,0.779821,0.446675,0.705408,0.377888,0.666121"
742296909,"600616,002670,301033,602930,688132,688493,603497,604889,602477,688911,300309,002050,601643,600451,688157,603416,001622,300390,300560,604139,603035,600307,602441,602280,301361","4.833314,4.624105,4.511841,4.478626,4.309322,4.304165,4.281183,4.258910,4.198655,4.198449,4.198249,4.148366,4.099507,4.098299,3.944950,3.902408,3.894229,3.889960,3.774549,3.712342,3.517251,3.417185,3.358653,3.304536,2.740948","5.122847,6.577384,4.609922,6.416831,3.450513,5.136750,5.701201,5.361336,3.683382,2.935951,3.621040,2.348808,3.337347,2.909311,5.744846,5.661602,3.123031,3.070302,2.112893,2.242834,2.815598,2.595287,3.717146,4.519560,3.184276"
149874939,"603884,301214,300176,301292,001860,600843,003643,001469,000423,300974,000410,300644,001748,600639,003610,003526,002380,602098,000744,601605,002602,604710,688040,600338,602249,688219,300370,301016","4.163309,4.002382,3.963646,3.879702,3.862699,3.843691,3.838810,3.814741,3.765213,3.711422,3.687665,3.673376,3.642971,3.633904,3.633532,3.621386,3.520787,3.430700,3.427656,3.392842,3.390830,3.375653,3.291368,3.284809,3.136511,3.026985,3.004177,2.979232","4.206284,4.978962,3.841581,2.847467,5.380593,3.302622,3.702157,4.169705,2.247545,2.316764,3.402316,4.905673,2.941405,3.494910,2.361633,4.838325,4.381984,4.386463,2.755098,2.075918,4.160973,2.388218,3.423855,2.865030,3.814297,4.455398,2.327449,4.027373"
489751106,"300822,602023,602981,000682,604992,603416,301240,001311,603035,300556,603167,603084,301084,602856,002654,602134,601880,000114,300949,300771,300380","5.433142,5.419766,5.412893,5.250492,5.189455,5.125725,5.005168,4.963586,4.953417,4.818192,4.795091,4.712727,4.645380,4.642805,4.639465,4.584977,4.501885,4.427172,4.404491,4.091776,2.982395","6.529236,6.745885,6.952234,3.775885,6.746429,5.283493,5.755021,4.352364,3.884258,5.193743,5.553762,5.356847,2.334996,2.662454,2.819393,5.815957,5.615401,4.248942,3.192156,4.350617,2.830927"
